"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"A-Ressha de Ikou MD","Strategy,Breeding/Constructing","A-Ressha de Ikou MD is a Strategy game, developed by M.N.M Software and published by Sega,which was released in Japan in 1992.","n/a","1.0","n/a","M.N.M Software","Apr 10, 1992 ","http://www.gamefaqs.com/genesis/570432-a-ressha-de-ikou-md"
"Aa Harimanada","Sports,General","Aa Harimanada is a Sports game, developed by Megasoft (Japan) and published by Sega,which was released in Japan in 1993.","n/a","6.8","n/a","Megasoft (Japan)","Sep3, 1993 ","http://www.gamefaqs.com/genesis/570458-aa-harimanada"
"AAAHH!!! Real Monsters","Action,Platformer,2D","Greetings, terror-trainees! Ickis, Krumm, and Oblina will have to prove themselves on the Monster midterm exams if they want to call themselves real monsters! They must work together as a team to receive a single gruesome grade on their frightful performance. So...go out and petrify someone!","9.3","6.1","n/a","Realtime Associates","Sep 15, 1995 ","http://www.gamefaqs.com/genesis/586014-aaahh-real-monsters"
"Tiny Toon Adventures: ACME All-Stars","Sports,General","Now those crazy Tiny Toon Adventures characters are creating sporting havoc! Create teams from amongst your favorite toons - each with their own individual techniques - for the wackiest games of soccer and basketball you've ever seen!","7.5","7.6","","","","http://www.gamefaqs.com/genesis/586542-tiny-toon-adventures-acme-all-stars"
"Action 52","Miscellaneous,Compilation","Get 52 &quot;New and Original&quot; exciting games for play on your Sega Genesis. Try to get Billy Bob out of the Dungeon where he is imprisoned, to save MARYLOU. Go along with the ACTION GAMEMASTER as he changes into one of the fearsome CHEETAHMEN to try to defeat all of the ACTION 52 evil attackers. These two games plus an additional 50 games on this one &quot;Multi-GamePak&quot; will keep you entertained for a long time.","4.0","2.4","","","","http://www.gamefaqs.com/genesis/915587-action-52"
"Addams Family Values","Role-Playing,General","Become Uncle Fester in this adventure of gargantuan proportions.","n/a","5.3","","","","http://www.gamefaqs.com/genesis/586007-addams-family-values"
"The Addams Family","Action,Platformer,2D","Great Scott, man! The fiendish Abigail Craven has brainwashed Uncle Fester and imprisoned Pugsley, Wednesday and Granny somewhere in the Addams Family Mansion! The house is amaze of scary rooms with bizarre ghouls around every blood-curdling bend -- ah, home sweet home! It's up to the sword fighting, golf ball-hurling, Fezi-copter flying Gomez to rescue his family... or they'll face a fate worse than life! So, get ready for the kookiest, ookiest, creepiest, fun ever!","7.0","6.8","","","","http://www.gamefaqs.com/genesis/586006-the-addams-family"
"Gley Lancer","Action,Shooter,Scrolling","Gley Lancer is an Action game, developed and published by NCS,which was released in Japan in 1992.","8.0","8.1","","","","http://www.gamefaqs.com/genesis/578841-gley-lancer"
"Gley Lancer","Action,Shooter,Scrolling","Gley Lancer is an Action game, developed and published by NCS,which was released in Japan in 1992.","8.0","8.1","","","","http://www.gamefaqs.com/genesis/578841-gley-lancer"
"Advanced Daisenryaku: Deutsch Dengeki Sakusen","Strategy,General","Advanced Daisenryaku: Deutsch Dengeki Sakusen is a Strategy game, developed and published by Sega,which was released in Japan in 1991.","n/a","8.0","n/a","Sega","Jun 17, 1991 ","http://www.gamefaqs.com/genesis/569352-advanced-daisenryaku-deutsch-dengeki-sakusen"
"The Adventures of Batman & Robin","Action,General","From the award winning animated TV series comes the most action-packed Batman adventure yet! The Dark Knight returns with Robin to battle the forces of evil. But wait... the iceman cometh!!! Mr. Freeze is about to unleash his super-powered ice cannon and has teamed up with the most notorious criminals to help him turn Gotham City into a diabolical winter wonderland!","7.7","7.1","","","","http://www.gamefaqs.com/genesis/586008-the-adventures-of-batman-and-robin"
"The Adventures of Mighty Max","Action,Platformer,2D","The Adventures of Mighty Max is an Action game, developed by WJS Design and published by Ocean,which was released in 1994.","2.3","4.7","","","","http://www.gamefaqs.com/genesis/586009-the-adventures-of-mighty-max"
"The Adventures of Rocky and Bullwinkle and Friends","Action,Platformer,2D","The Adventures of Rocky and Bullwinkle and Friends is an Action game, developed by Imagineering Inc and published by Absolute Entertainment,which was released in 1993.","n/a","4.7","n/a","Imagineering Inc","1993 ","http://www.gamefaqs.com/genesis/586431-the-adventures-of-rocky-and-bullwinkle-and-friends"
"Air Buster","Action,Shooter,Scrolling","This isn't a little skirmish in the air. This is a full-fledged, take-no-prisoners, hyper-drive war to the finish with three-dimensional screens and incredible sound effects. Simultaneous two-player action with horizontal and vertical scrolling means you need cunning, instinct, and flight skills to destroy the enemy...and survive!","6.5","6.0","","","","http://www.gamefaqs.com/genesis/932939-air-buster"
"Aero the Acro-Bat","Action,Platformer,2D","Step right up to the acro-batiest show on earth! The madman industrialist Edgar Ektor has siezed control of the World of Amusement. He and a deranged cast of fairground freaks threaten the circus. The only hope for survival is the high-flying, death-defying Aero the Acro-Bat! Spine-tingling terror unfolds as Aero tackles Ektor's wicked henchmen. Bungee jump into a battle with evil! Skydive in mode 7 toward the danger below. Hang on for the ride of your life as you rise and plunge on a roaring roller coaster! Tiptoe across a terrifying tightrope! Then power drill and twist Aero right through every sinister circus enemy imaginable. And all the while, the show must go on!","6.4","6.4","","","","http://www.gamefaqs.com/genesis/586010-aero-the-acro-bat"
"Aero the Acro-Bat 2","Action,Platformer,2D","The aerialist extreme, Aero the Acro-Bat bounds back into the spotlight once again to stop the wicked industrialist, Edgar Ektor! Aero has entered a new realm of enchantment and must now use all his acrobatic prowess to foil a criminal plot known only as &quot;Plan B!&quot; Join Aero as he discovers new friends (and enemies) in a world custom built for his high-flying adventures.","n/a","7.1","","","","http://www.gamefaqs.com/genesis/586011-aero-the-acro-bat-2"
"Aerobiz","Strategy,General","Aerobiz is a Strategy game, developed and published by Koei,which was released in Japan in 1992.","5.0","6.4","n/a","Koei","1992 ","http://www.gamefaqs.com/genesis/586012-aerobiz"
"Aerobiz Supersonic","Strategy,General","It's the beginning of the 21st century and competition in the airline industry is heating up. As a young, ambitious CEO, it's up to you to make sure your airline is a survivor and not just another casualty. To succeed, you will have to make some tough decisions including where to fly, which planes to purchase and how to attract visitors to the cities you service. Your goal: to differentiate your airline from the rest while still turning a profit. Get ready to make some tough decisions! If you make the right ones, your planes will dominate the skies of the 21st century!","9.0","6.8","","","","http://www.gamefaqs.com/genesis/586013-aerobiz-supersonic"
